ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,488,GlobalTech
2001,Electronics-Be,Clothing,412.35,577,Unknown
2002,Office-Family,Clothing,866.0,795,Unknown
2003,Electronics-Training,Clothing,385.18,202,Unknown
2004,Office-Where,Home,927.25,581,MegaCorp
2005,Office-Huge,Home,428.78,779,GlobalTech
2006,Office-Class,Clothing,198.0,395,MegaCorp
2007,Clothing-Over,Electronics,583.39,931,MegaCorp
2008,Electronics-Skin,Home,66.59,0,MegaCorp
2009,Office-Raise,Clothing,66.31,369,GlobalTech
2010,Electronics-Themselves,Clothing,77.84,297,MegaCorp
2011,Electronics-Religious,Clothing,409.74,629,GlobalTech
2012,Clothing-Artist,Electronics,623.19,772,Unknown
2013,Office-Cultural,Home,935.36,253,MegaCorp
2014,Clothing-Eat,Home,246.3,164,BestSource
2015,Office-Itself,Clothing,674.97,166,GlobalTech
2016,Home-He,Office,323.02,821,SupplyPro
2017,Electronics-Feeling,Electronics,463.7,637,Unknown
2018,Electronics-Nature,Electronics,542.26,240,GlobalTech
2019,Home-History,Clothing,933.93,415,Unknown
2020,Electronics-Share,Clothing,375.83,551,MegaCorp
2021,Clothing-Skill,Office,835.41,230,MegaCorp
2022,Home-Economy,Electronics,671.18,5,Unknown
2023,Home-Yeah,Electronics,939.54,444,MegaCorp
2024,Clothing-Paper,Home,124.27,13,Unknown
2025,Electronics-Assume,Clothing,279.62,577,Unknown
2026,Clothing-Use,Home,211.56,650,Unknown
2027,Home-Purpose,Office,258.61,34,Unknown
2029,Home-Yourself,Electronics,13.51,763,MegaCorp
2030,Clothing-First,Home,169.97,763,GlobalTech
2031,Office-Develop,Office,565.3,757,BestSource
2032,Electronics-There,Electronics,945.6,69,GlobalTech
2033,Clothing-Argue,Electronics,836.25,351,GlobalTech
2034,Clothing-Feel,Office,136.17,164,BestSource
2036,Electronics-Candidate,Home,217.98,713,SupplyPro
2037,Clothing-Meeting,Electronics,360.14,212,SupplyPro
2038,Office-Soon,Clothing,926.51,510,GlobalTech
2039,Clothing-Need,Clothing,976.44,785,MegaCorp
2040,Clothing-Determine,Office,34.54,790,Unknown
2041,Home-Assume,Office,804.21,956,Unknown
2042,Clothing-Lawyer,Home,167.61,918,Unknown
2043,Electronics-Practice,Office,873.45,810,GlobalTech
2044,Office-Society,Clothing,207.58,746,GlobalTech
2045,Office-Next,Home,312.14,482,MegaCorp
2046,Clothing-Worry,Clothing,33.43,32,MegaCorp
2047,Clothing-Hair,Office,334.98,479,MegaCorp
2048,Electronics-Candidate,Home,357.63,339,Unknown
2049,Office-Easy,Home,939.84,911,BestSource
2050,Electronics-Young,Home,186.78,790,SupplyPro
2051,Home-Century,Electronics,117.32,990,GlobalTech
2052,Office-Year,Home,731.26,204,BestSource
2053,Home-Ground,Office,610.15,272,GlobalTech
2054,Electronics-Above,Office,900.51,44,Unknown
2055,Clothing-Politics,Home,53.94,441,MegaCorp
2056,Office-About,Electronics,524.72,380,Unknown
2057,Clothing-Identify,Home,436.98,699,BestSource
2058,Home-Wear,Home,666.75,331,MegaCorp
2059,Electronics-Clear,Home,512.05,909,GlobalTech
2060,Office-Term,Home,408.38,184,MegaCorp
2061,Home-Quite,Clothing,199.92,994,GlobalTech
2062,Office-Receive,Clothing,619.36,0,Unknown
2063,Home-Good,Office,552.46,739,BestSource
2064,Electronics-Stop,Home,294.04,625,BestSource
2065,Office-Animal,Home,470.34,842,SupplyPro
2066,Office-Occur,Clothing,516.06,512,MegaCorp
2067,Clothing-Remain,Electronics,290.95,800,MegaCorp
2068,Home-Read,Electronics,820.24,580,MegaCorp
2069,Clothing-Garden,Home,232.39,783,GlobalTech
2070,Clothing-About,Clothing,34.18,697,GlobalTech
2071,Clothing-Success,Office,615.16,125,GlobalTech
2072,Electronics-Become,Office,420.3,705,Unknown
2073,Clothing-Executive,Office,499.43,481,MegaCorp
2074,Clothing-Strong,Clothing,659.5,619,BestSource
2075,Electronics-Letter,Electronics,780.64,328,MegaCorp
2076,Clothing-Affect,Clothing,806.07,148,BestSource
2077,Office-Ball,Electronics,561.83,179,MegaCorp
2078,Electronics-Film,Office,142.01,889,Unknown
2079,Office-Who,Home,950.54,272,GlobalTech
2080,Office-Doctor,Office,832.26,318,MegaCorp
2081,Office-Light,Clothing,746.22,101,BestSource
2082,Office-Figure,Office,266.6,761,GlobalTech
2083,Clothing-Cut,Home,768.16,156,Unknown
2084,Office-Stuff,Clothing,281.85,480,SupplyPro
2085,Electronics-Officer,Home,242.15,428,MegaCorp
2086,Home-Of,Home,894.1,435,Unknown
2087,Electronics-Rather,Clothing,159.32,443,BestSource
2088,Office-Evening,Clothing,709.35,900,BestSource
2089,Electronics-Action,Office,413.52,48,BestSource
2090,Office-Staff,Office,71.64,489,SupplyPro
2091,Office-Mrs,Office,905.79,204,MegaCorp
2092,Electronics-Add,Office,482.21,598,Unknown
2093,Home-Real,Home,755.94,137,SupplyPro
2094,Office-Fight,Clothing,493.35,571,MegaCorp
2095,Home-Seem,Office,490.79,224,GlobalTech
2096,Office-Discuss,Home,672.18,342,SupplyPro
2097,Office-Recent,Clothing,842.1,143,SupplyPro
2098,Clothing-Trouble,Electronics,907.86,691,BestSource
2099,Electronics-Several,Electronics,646.32,33,GlobalTech
